id,channel,title,url,published,views,duration,baseline,multiple,views_per_day,vpd_multiple
SXULADjnO5s,Asianometry,How To Test 208 Billion Transistors,https://www.youtube.com/watch?v=SXULADjnO5s,2026-04-12,207039,1754,168542,1.23,1739.8,0.72
eqoX9OIR-DI,Asianometry,The EU Chips Act is a Failure,https://www.youtube.com/watch?v=eqoX9OIR-DI,2026-06-07,200933,1378,168542,1.19,3189.4,1.31
phoeSk-qY8s,Asianometry,ADSL's Copper Miracle,https://www.youtube.com/watch?v=phoeSk-qY8s,2026-08-02,186244,1868,168542,1.11,26606.3,10.96
1S2wwbX_p_E,Asianometry,Sri Lanka’s Organic Fertilizer Debacle,https://www.youtube.com/watch?v=1S2wwbX_p_E,2026-06-14,183434,1516,168542,1.09,3275.6,1.35
srGmVOFpasU,Asianometry,Gallium Nitride: From Light to Power,https://www.youtube.com/watch?v=srGmVOFpasU,2026-07-30,177484,1499,168542,1.05,17748.4,7.31
l8OWJwnnXUg,Asianometry,General Motors’ Robot Debacle,https://www.youtube.com/watch?v=l8OWJwnnXUg,2026-05-10,172439,2795,168542,1.02,1894.9,0.78
MSLIC5yDHQc,Asianometry,The 40-Year Mystery of the Iron Nitride Magnet,https://www.youtube.com/watch?v=MSLIC5yDHQc,2026-07-02,164645,1234,168542,0.98,4332.8,1.79
kaz71LziZLA,Asianometry,Japan's Rare Earths Island,https://www.youtube.com/watch?v=kaz71LziZLA,2026-05-28,160192,1192,168542,0.95,2194.4,0.90
CIB49e_r1OI,Asianometry,TOTO's Semiconductor Secret,https://www.youtube.com/watch?v=CIB49e_r1OI,2026-06-28,157885,2304,168542,0.94,3759.2,1.55
J7157XB8rxc,Asianometry,VLIW: The “Impossible” Computer,https://www.youtube.com/watch?v=J7157XB8rxc,2026-04-05,154226,2368,168542,0.92,1224.0,0.50
iF7AQ73CsGs,Asianometry,The “Miracle” Rice,https://www.youtube.com/watch?v=iF7AQ73CsGs,2026-06-18,148765,1370,168542,0.88,2860.9,1.18
XSNuyDA4800,Asianometry,The Little Vertical Laser That Everyone Uses,https://www.youtube.com/watch?v=XSNuyDA4800,2026-05-17,133668,1126,168542,0.79,1591.3,0.66
MFgYnxHumsY,Asianometry,France Sold Its Nuclear Steam Turbine Champion. Then Bought It Back.,https://www.youtube.com/watch?v=MFgYnxHumsY,2026-07-19,127721,1531,168542,0.76,6082.0,2.51
iFoma1jUToU,Asianometry,Embedded Memories: The Next Generation,https://www.youtube.com/watch?v=iFoma1jUToU,2026-06-21,108645,1170,168542,0.64,2217.2,0.91
8wT-QYm0zlg,Asianometry,How Things Fell Apart for Germany’s Nixdorf Computer,https://www.youtube.com/watch?v=8wT-QYm0zlg,2026-05-24,102251,1942,168542,0.61,1327.9,0.55
8fbhE0F-rjA,Asianometry,South Korea Defied the Gods to Build its Steel Colossus,https://www.youtube.com/watch?v=8fbhE0F-rjA,2026-04-23,100035,1355,168542,0.59,926.2,0.38
aVqoN5jfxIQ,Asianometry,Mexico City’s Sinking Lands,https://www.youtube.com/watch?v=aVqoN5jfxIQ,2026-03-19,91027,1365,168542,0.54,636.6,0.26
byWZoKCdePo,Asianometry,True 3D DRAM,https://www.youtube.com/watch?v=byWZoKCdePo,2026-07-26,80856,1251,168542,0.48,5775.4,2.38
MXhd5D9eXXk,Asianometry,The Miraculous Cochlear Ear Implant,https://www.youtube.com/watch?v=MXhd5D9eXXk,2026-07-16,62387,2019,168542,0.37,2599.5,1.07
AU1iHfUdkBU,Asianometry,Intel's 30 Years in Costa Rica,https://www.youtube.com/watch?v=AU1iHfUdkBU,2026-05-21,55398,1325,168542,0.33,692.5,0.29
